pid,eid,probe,subject,neuron_id,acronym,firing_rate,dist_soma,combined_region,high_level_region,type
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,24,PIR,12.3904686529047,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,WS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,33,PIR,13.448763305923954,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,WS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,42,PIR,2.3585182997284493,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,WS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,44,PIR,7.458416213362126,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,WS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,55,PIR,2.7538233300878434,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,WS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,62,PIR,1.4868793894484384,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,WS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,117,PIR,1.7554321479942054,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,WS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,143,PIR,5.291473265096282,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,WS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,144,PIR,1.4593874583473092,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,NS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,147,PIR,4.321152791600639,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,NS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,202,PIR,6.519928502194106,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,WS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,220,PIR,10.22410448213572,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,WS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,241,PIR,10.435068879743332,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,WS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,251,PIR,1.5389693641663673,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Piriform,Cortex,WS
b7de18f4-31d4-4ec5-94ed-8303e9d17dcd,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,probe01,ZFM-04811,563,ORBl5,4.51128119932108,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],Orbitofrontal cortex,Cortex,WS
